station_name,available_bikes
Norwida / Wyspiańskiego (PWr),0
Plac Świętego Macieja / Trzebnicka,3
Mińska / Stanisławowska,0
Traktatowa (przystanek kolejowy),8
Wita Stwosza / Szewska,2
Plac Kościuszki (Renoma),2
Plac Jana Pawła II (Akademia Muzyczna),3
Plac Uniwersytecki (UWr),6
Fabryczna / Wagonowa,2
Plac Legionów,6
Świdnicka / Piłsudskiego (Hotel Scandic),1
Kościuszki / Pułaskiego,1
Plac Powstańców Warszawy (Muzeum Narodowe),0
Kościuszki / Komuny Paryskiej / Zgodna,4
Traugutta / Pułaskiego,1
Stacyjna (Dworzec Mikołajów),0
Plac Strzegomski / Poznańska,1
Zachodnia / Poznańska,3
Drobnera / Dubois,4
Poniatowskiego / Oleśnicka,0
Nowowiejska / Wyszyńskiego,1
Żeromskiego / Daszyńskiego,1
Żeromskiego / Kluczborska,1
Joliot-Curie (Uwr),1
Sienkiewicza / Piastowska,3
Sienkiewicza / Wyszyńskiego,2
Plac Grunwaldzki / Polaka,0
Wróblewskiego (Teki),3
Komandorska / Sanocka,2
Ślężna / Kamienna (Uniw. Ekonomiczny),1
Oporów (pętla tramwajowa),3
Zaporoska / Gajowicka,8
Traugutta / Kościuszki,2
Nowowiejska / Górnickiego,4
Plac Grunwaldzki (DS Ołówek),1
Zaporoska / Grabiszyńska,4
Grabiszyńska / Stalowa,2
Krucza / Mielecka / Stalowa,6
Aleja Hallera / Mielecka,5
"Grochowa / Jemiołowa,",7
Powstańców Śląskich (Arkady Wrocławskie),3
Legnicka / Młodych Techników,0
Żelazna / Pereca,1
Szewska / Kazimierza Wielkiego ,2
Na Ostatnim Groszu,7
Grabiszyńska / Magazynierska (Corte Verona),4
Legnicka / Zachodnia ,1
Fosa Miejska ,5
Łukasiewicza / Smoluchowskiego (PWr),2
Kazimierza Wielkiego (Helios),7
Drobnera / Plac Bema,0
Krzywoustego - Rynek Psie Pole,4
Pilczycka / Kozanowska,1
Aleja Kromera,15
Leśnica - pętla tramwajowa,0
Krzycka / Aleja Karkonoska (Park Południowy),0
Mościckiego (stacja kolejowa),5
Żmigrodzka / Broniewskiego,0
Zwycięska / Ołtaszyńska,3
Strzegomska / Estońska,2
Świeradowska (Ferio Gaj ),1
Wałbrzyska - pętla tramwajowa,9
Buforowa - Vivaldiego,2
Pilczycka (Stadion Miejski),7
Tyrmanda / Trawowa,1
Zatorska / Królewska - pętla MPK,0
Marca Polo (Olimpia Port),3
Osobowicka - pętla tramwajowa,1
Waniliowa / Cynamonowa,5
Żernicka,3
Promenady Wrocławskie,4
Centrum Handlowe Auchan Bielany,8
Aleja Bielany,0
Obornicka / Bałtycka,1
Berenta / Kasprowicza,2
Kraszewskiego / Trzebnicka,2
Grota-Roweckiego / Parafialna,2
Świeradowska / Krynicka,4
Krzywoustego / Korona,6
Rogowska / Zemska,2
Hermanowska / Kołobrzeska,2
Solskiego / al. Piastów,11
Czekoladowa / Wałbrzyska,1
Tarnogajska / Klimasa,7
Opolska / pętla tramwajowa,1
Graniczna / Strzegomska,2
Żmigrodzka / Marino,1
Kutrzeby / Hubala,4
Zwycięska / Agrestowa,0
al. Karkonoska / Jeździecka,0
Ślężna / Skierniewicka,0
Strzegomska / Rogowska ,0
Karwińska / Opolska,1
Reymonta / Kleczkowska,5
Młodych Techników,5
