station_name,available_bikes
Rossatz-Arnsdorf/ Musikheim,"[0, 0, 0, 0, 0, 0, 0, 0]"
Weißenkirchen / Rollfährestraße,"[0, 0, 0, 0, 0, 0, 0, 0]"
Weißenkirchen / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Spitz / Donaustation 15 - Tourismusinfo,"[0, 0, 0, 0, 0, 0, 0, 0]"
Spitz / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Mühldorf / Feuerwehr ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Aggsbach Markt/ Freizeitzentrum ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Aggsbach Dorf/ Parkplatz - Info ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Emmersdorf / Tourismusinfo ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Melk / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Melk / Sparkassengasse,"[0, 0, 0, 0, 0, 0, 0, 0]"
Melk / Hubbrücke Wachauarena,"[0, 0, 0, 0, 0, 0, 0, 0]"
Melk / BRANDNER Schiffahrt Melk/ Altarm,"[0, 0, 0, 0, 0, 0, 0, 0]"
Melk / Konditorei Mistlbacher / Fußgängerzone,"[0, 0, 0, 0, 0, 0, 0, 0]"
"Melk / BH, Abt Karlstraße ","[0, 0, 0, 0, 0, 0, 0, 0]"
Rossatz - Arnsdorf / Winzerstüberl Essl Rührsdorf,"[0, 0, 0, 0, 0, 0, 0, 0]"
Krems / Mariandl Krems,"[4, 4, 4, 4, 4, 4, 4, 4]"
Gmünd / WKÖ Bezirksstelle Gmünd,"[0, 0, 0, 0, 0, 0, 0, 0]"
Tulln / Die Garten Tulln,"[5, 5, 5, 5, 5, 5, 5, 5]"
Tulln / Donaulände - Nibelungenplatz,"[3, 3, 3, 3, 3, 3, 3, 3]"
Tulln / Stadtbahnhof,"[4, 4, 4, 4, 4, 4, 4, 4]"
Tulln / BH - Marc Aurel Park,"[4, 4, 4, 4, 4, 4, 4, 4]"
Tulln / Hauptbahnhof Park & Ride,"[4, 4, 4, 4, 4, 4, 4, 4]"
Tulln / Campus Fachhochschule (Studentenwohnheim Technopark),"[3, 3, 3, 3, 3, 3, 3, 3]"
Tulln / Hauptplatz - Rosenarcade,"[4, 4, 4, 4, 4, 4, 4, 4]"
Tulln / Campus UFT,"[3, 3, 3, 3, 3, 3, 3, 3]"
Michelhausen / Bahnhof Tullnerfeld,"[7, 7, 7, 7, 7, 7, 7, 7]"
Tulln / Hauptbahnhof Nord,"[4, 4, 4, 4, 4, 4, 4, 4]"
Tulln / DonauSplash HAK|HAS - BSZ,"[4, 4, 4, 4, 4, 4, 4, 4]"
Tulln / Zukunftspark,"[4, 4, 4, 4, 4, 4, 4, 4]"
Leobersdorf / Bahnhof,"[2, 2, 2, 2, 2, 2, 2, 2]"
Leobersdorf / Rathausplatz,"[0, 0, 0, 0, 0, 0, 0, 0]"
Leobersdorf / Ared Park,"[0, 0, 0, 0, 0, 0, 0, 0]"
Bad Vöslau / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Bad Vöslau / Schlossplatz ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Guntramsdorf / Hst. Lokalbahn,"[1, 1, 1, 1, 1, 1, 1, 1]"
Gumpoldskirchen / Bahnhof,"[1, 1, 1, 1, 1, 1, 1, 1]"
Guntramsdorf / Hst. Neu Guntramsdorf,"[4, 4, 4, 4, 4, 4, 4, 4]"
Baden / Bahnhof ,"[1, 1, 1, 1, 1, 1, 1, 1]"
Baden / Tourismusinfo Römertherme,"[2, 2, 2, 2, 2, 2, 2, 2]"
Pfaffstätten / Bahnhof ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Baden / BH,"[0, 0, 0, 0, 0, 0, 0, 0]"
Kottingbrunn / Raiba - EKZ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Guntramsdorf / Bahnhof Thallern,"[2, 2, 2, 2, 2, 2, 2, 2]"
Hainburg / Hauptplatz,"[0, 0, 0, 0, 0, 0, 0, 0]"
Bad Deutschaltenburg / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Bad Deutschaltenburg / Museum Carnuntinum,"[0, 0, 0, 0, 0, 0, 0, 0]"
Petronell - Carnuntum / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Petronell - Carnuntum / Archäologischer Park Carnuntum,"[0, 0, 0, 0, 0, 0, 0, 0]"
Wr. Neustadt / Hauptbahnhof,"[18, 16, 16, 16, 16, 16, 16, 16]"
Wr. Neustadt / Hst.Civitas Nova,"[11, 11, 11, 11, 11, 11, 11, 11]"
Wr. Neustadt / Hst. Nord,"[3, 3, 3, 3, 3, 3, 3, 3]"
Wr. Neustadt / Studentenwohnheim,"[1, 1, 1, 1, 1, 1, 1, 1]"
Wr. Neustadt / Fachhochschule,"[1, 1, 1, 1, 1, 1, 1, 1]"
Wr. Neustadt / Hauptplatz,"[3, 3, 3, 3, 3, 3, 3, 3]"
Wr. Neustadt / Fischapark Dreipappelstrasse,"[3, 3, 3, 3, 3, 3, 3, 3]"
Wr. Neustadt / Theatergarage / Fußgängerzone,"[0, 0, 0, 0, 0, 0, 0, 0]"
Wr. Neustadt / Museum St. Peter an der Sperr,"[1, 1, 1, 1, 1, 1, 1, 1]"
Katzelsdorf / Zinnfigurenwelt,"[0, 0, 0, 0, 0, 0, 0, 0]"
Katzelsdorf / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Wr. Neustadt / Landesklinikum,"[2, 2, 3, 3, 3, 3, 3, 3]"
Wr. Neustadt / Merkurcity,"[1, 1, 1, 1, 1, 1, 1, 1]"
Wr. Neustadt / Kasematten,"[7, 7, 7, 7, 7, 7, 7, 7]"
Wr. Neustadt / Park & Drive Ost,"[1, 1, 1, 1, 1, 1, 1, 1]"
Wr. Neustadt / FH City Campus - Bibliothek im Zentrum,"[0, 0, 0, 0, 0, 0, 0, 0]"
Wr. Neustadt / Robert Stolz Siedlung,"[4, 4, 4, 4, 4, 4, 4, 4]"
Wr. Neustadt / Altabachgasse,"[4, 4, 4, 4, 4, 4, 4, 4]"
Wr. Neustadt / Josef-Bierenz-Gasse,"[5, 5, 5, 5, 5, 5, 5, 5]"
BIKE 08352,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35753,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 03346,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35979,"[1, 1, 1, 1, 1, 1, 1, 1]"
Herzogenburg / Bahnhof,"[2, 2, 2, 2, 2, 2, 2, 2]"
Herzogenburg / Rathausplatz,"[3, 3, 3, 3, 3, 3, 3, 3]"
BIKE 35853,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35877,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35835,"[1, 1, 1, 1, 1, 1, 1, 1]"
Marchegg / Hauptplatz,"[0, 0, 0, 0, 0, 0, 0, 0]"
Marchegg / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Engelhartstetten / Schloss Hof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Klosterneuburg / Kierling / Bahnhof,"[1, 1, 1, 1, 1, 1, 1, 1]"
Klosterneuburg / Weidling / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Korneuburg / Bahnhof,"[3, 3, 3, 3, 3, 3, 3, 3]"
Leobendorf / Bahnhof,"[2, 2, 2, 2, 2, 2, 2, 2]"
Stockerau / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Korneuburg / BH Korneuburg,"[2, 2, 2, 2, 2, 2, 2, 2]"
Korneuburg / Hauptplatz,"[3, 3, 3, 3, 3, 3, 3, 3]"
Stockerau / Rathausplatz,"[0, 0, 0, 0, 0, 0, 0, 0]"
Stockerau / Kaiserrast,"[0, 0, 0, 0, 0, 0, 0, 0]"
Leobendorf / Zentrum,"[6, 6, 6, 6, 6, 6, 6, 6]"
Spillern / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Spillern / Jugendtreff,"[0, 0, 0, 0, 0, 0, 0, 0]"
St. Andrä Wördern / Marienhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
St. Andrä Wördern / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
